nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_03206	171	41	26	35	237	116	278	115	387	294	192
NC101_03207	2021	563	421	602	1711	1109	1368	771	2874	1800	454
NC101_03208	36	17	0	13	80	27	65	25	232	164	120
NC101_03209	12	13	1	11	73	35	174	21	126	116	150
NC101_03210	85	57	16	49	105	62	287	52	220	165	37
NC101_03211	42	26	9	45	212	67	215	93	308	222	399
NC101_03212	131	36	27	86	512	191	279	146	305	299	434
NC101_03213	75	24	11	39	347	78	260	156	338	328	569
NC101_03214	32	9	6	4	104	34	446	309	702	493	130
NC101_03215	42	10	2	8	39	6	30	31	106	90	52
NC101_03216	25	10	0	24	161	46	223	142	527	373	104
NC101_03217	42	21	5	18	147	45	340	157	514	476	300
NC101_03218	35	7	7	13	83	29	132	77	209	189	129
NC101_03219	113	34	24	51	311	142	622	294	1015	756	52
NC101_03220	191	55	17	58	625	132	1458	710	2355	2205	160
NC101_03221	81	31	11	35	299	77	593	334	1006	974	45
NC101_03222	167	32	30	65	721	109	1326	722	2021	1892	91
NC101_03223	141	16	6	41	518	55	1081	520	1510	1579	120
NC101_03224	370	77	17	112	1590	264	2928	1461	4332	4518	237
NC101_03225	179	25	9	50	737	117	1401	695	2018	2081	136
NC101_03226	334	61	37	68	1036	190	1578	938	2876	2870	152
NC101_03227	1069	246	70	113	758	258	1088	548	1884	1513	82
NC101_03228	371	77	45	212	1082	334	795	408	1294	935	52
NC101_03229	519	112	63	142	1005	297	848	380	952	838	69
NC101_03230	73	19	13	50	170	65	80	49	171	158	8
NC101_03231	12	5	3	6	57	33	27	21	63	46	8
NC101_03232	13	5	2	4	54	25	32	27	42	60	8
NC101_03233	113	19	7	34	101	50	111	64	172	155	13
NC101_03234	57	8	11	10	112	51	67	44	141	101	4
NC101_03235	0	0	0	0	4	0	2	2	9	2	4
NC101_03236	10	2	0	13	27	18	18	9	28	17	6
NC101_03237	5	0	0	5	8	2	14	6	14	14	1
NC101_03238	0	0	0	0	5	0	0	2	6	1	7
NC101_03239	2	2	2	0	10	6	5	4	10	7	17
NC101_03240	16	0	2	2	17	16	6	7	10	10	5
NC101_03241	2	2	0	3	15	12	22	6	45	19	22
NC101_03242	16	4	8	26	57	15	127	60	209	168	71
NC101_03243	103	43	8	42	214	49	628	210	679	640	135
NC101_03244	50	6	7	10	220	51	64	67	312	267	45
NC101_03245	55	11	11	30	199	66	134	81	346	297	39
NC101_03246	14	0	2	11	58	11	39	22	58	39	21
NC101_03247	6	0	2	5	104	11	29	11	44	44	14
NC101_03248	20	5	8	29	72	37	296	92	189	281	41
